,pavel-nb_plays-50-units-50-__activation__-elu-__nb_plays__-25-__units__-10-ensemble-1-loss,pavel-nb_plays-50-units-64-loss,nb_plays-50-units-50-__activation__-elu-__nb_plays__-50-__units__-50-ensemble-1-loss,nb_plays-50-units-128-loss
591,1.055,2.873,0.859,2.325
592,1.047,2.844,0.858,2.657
593,1.038,2.943,0.858,2.432
594,1.029,3.531,0.858,2.803
595,1.021,1.869,0.858,3.492
596,1.013,3.208,0.857,2.779
597,1.005,2.223,0.857,3.189
598,0.997,3.513,0.857,2.596
599,0.989,3.298,0.856,2.638
600,0.981,2.107,0.856,2.897
601,0.974,1.977,0.856,3.22
602,0.967,2.616,0.855,2.882
603,0.96,2.797,0.855,2.86
604,0.953,2.477,0.855,2.591
605,0.946,2.559,0.855,3.103
606,0.939,3.033,0.854,3.066
607,0.933,2.691,0.854,3.057
608,0.926,2.826,0.854,2.33
609,0.92,2.632,0.853,2.62
610,0.914,2.317,0.853,2.75
611,0.908,2.382,0.853,2.949
612,0.902,2.288,0.853,2.759
613,0.896,2.305,0.852,3.439
614,0.89,2.169,0.852,3.235
615,0.885,2.271,0.852,3.292
616,0.879,2.221,0.851,3.154
617,0.873,2.835,0.851,2.743
618,0.867,2.704,0.851,3.067
619,0.862,2.691,0.851,2.788
620,0.857,2.314,0.85,3.407
621,0.852,2.831,0.85,3.297
622,0.847,2.21,0.85,2.678
623,0.842,2.032,0.85,3.261
624,0.838,2.432,0.849,3.183
625,0.833,3.632,0.849,2.688
626,0.83,3.032,0.849,2.986
627,0.828,2.707,0.848,2.718
628,0.83,2.097,0.848,2.973
629,0.839,2.571,0.848,2.76
630,0.857,2.513,0.848,2.223
631,0.89,2.006,0.847,2.473
632,0.912,2.941,0.847,2.231
633,0.936,2.355,0.847,2.852
634,0.894,2.335,0.847,1.926
635,0.844,2.463,0.846,3.258
636,0.797,3.259,0.846,2.693
637,0.787,3.073,0.846,3.015
638,0.807,2.529,0.846,2.944
639,0.829,2.52,0.845,2.943
640,0.844,1.992,0.845,3.178
641,0.823,1.879,0.845,3.691
642,0.796,1.509,0.845,2.503
643,0.77,2.541,0.844,2.785
644,0.758,3.82,0.844,2.575
645,0.759,2.585,0.844,2.7
646,0.768,2.076,0.844,3.799
647,0.779,2.398,0.843,2.923
648,0.78,2.625,0.843,2.401
649,0.773,2.305,0.843,2.245
650,0.758,2.04,0.843,2.618
651,0.743,2.656,0.842,3.534
652,0.734,2.635,0.842,3.039
653,0.729,2.067,0.842,3.43
654,0.728,2.117,0.842,2.715
655,0.729,2.426,0.841,2.889
656,0.732,1.984,0.841,2.225
657,0.735,2.102,0.841,1.995
658,0.735,2.845,0.841,2.54
659,0.734,2.359,0.84,2.539
660,0.727,2.599,0.84,2.276
661,0.719,1.882,0.84,2.917
662,0.711,2.133,0.839,2.965
663,0.704,2.631,0.839,2.892
664,0.699,2.664,0.839,3.607
665,0.695,2.066,0.839,6.066
666,0.692,2.699,0.838,2.753
667,0.69,2.871,0.838,2.26
668,0.689,2.461,0.838,3.002
669,0.688,2.207,0.838,2.447
670,0.689,2.224,0.837,2.035
671,0.69,2.469,0.837,1.685
672,0.692,2.363,0.837,3.075
673,0.694,2.201,0.837,2.229
674,0.697,2.108,0.836,2.579
675,0.697,2.712,0.836,3.046
676,0.697,2.221,0.836,2.201
677,0.695,2.807,0.836,2.538
678,0.692,2.295,0.835,2.343
679,0.687,2.66,0.835,2.178
680,0.682,1.874,0.835,2.269
681,0.675,2.165,0.835,2.537
682,0.667,2.172,0.834,3.736
683,0.661,1.961,0.834,3.523
684,0.655,2.36,0.834,2.485
685,0.65,1.709,0.834,2.466
686,0.647,1.774,0.834,2.038
687,0.644,1.623,0.833,2.204
688,0.642,2.05,0.833,2.111
689,0.64,2.191,0.833,2.186
690,0.639,3.144,0.833,1.822
691,0.638,2.489,0.832,1.828
692,0.638,2.037,0.832,2.461
693,0.639,2.1,0.832,2.799
694,0.641,2.633,0.832,3.406
695,0.643,2.001,0.831,2.874
696,0.646,1.813,0.831,3.322
697,0.651,2.297,0.831,2.816
698,0.649,2.469,0.831,2.395
699,0.649,1.851,0.83,1.854
700,0.638,1.862,0.83,2.001
701,0.628,2.105,0.83,2.692
702,0.618,2.423,0.83,2.623
703,0.614,2.343,0.829,2.004
704,0.616,2.211,0.829,1.861
705,0.62,2.863,0.829,2.625
706,0.623,2.469,0.829,2.546
707,0.618,2.171,0.828,2.329
708,0.615,1.994,0.828,2.587
709,0.609,2.677,0.828,2.605
710,0.604,2.574,0.828,2.823
711,0.6,2.345,0.827,2.667
712,0.598,4.208,0.827,2.865
713,0.596,3.055,0.827,2.52
714,0.594,2.043,0.827,1.751
715,0.593,1.52,0.826,2.536
716,0.592,2.164,0.826,2.633
717,0.591,2.005,0.826,1.827
718,0.592,2.385,0.826,2.224
719,0.596,1.955,0.825,3.176
720,0.604,2.029,0.825,3.386
721,0.62,2.939,0.825,2.454
722,0.63,2.742,0.825,3.128
723,0.644,2.512,0.824,1.742
724,0.65,2.061,0.824,2.4
